Rank,Player_ID,Name,Nationality,Birth_Year,Play_Hand,Backhand,is_ghost
78.0,800695726,OLUWASEUN PETER OGUNSAKIN,NGR,2009.0,Unknown,Unknown,False
79.0,800704311,Marcel Latak,USA,2009.0,Unknown,Unknown,False
80.0,800596852,Christopher Thies,GER,2008.0,Unknown,Unknown,False
81.0,800602130,Jan Sadzik,POL,2008.0,Right Handed,Double Handed Backhand,False
82.0,800581740,Siu Chi Nicholas Cheng,HKG,2008.0,Unknown,Unknown,False
83.0,800578788,Tymon Litwic,POL,2008.0,Unknown,Unknown,False
84.0,800594151,Felipe Vazquez,URU,2008.0,Unknown,Unknown,False
85.0,800706578,Navneet Raghuram,USA,2009.0,Unknown,Unknown,False
86.0,800599675,Odysseas Geladaris,GRE,2008.0,Right Handed,Double Handed Backhand,False
87.0,800602231,Ali Missoum,MAR,2008.0,Right Handed,Double Handed Backhand,False
88.0,800681412,Daniel Jade,FRA,2009.0,Unknown,Unknown,False
89.0,800584132,Ramazan Kaan Oktay,TUR,2008.0,Unknown,Unknown,False
90.0,800676504,Leonardo Storck Franca,BRA,2009.0,Right Handed,Double Handed Both Sides,False
91.0,800597380,Dani Szabo,CAN,2008.0,Unknown,Unknown,False
92.0,800693613,Luis Andres Flores Avila,MEX,2008.0,Unknown,Unknown,False
93.0,800595243,Michael Savano,USA,2008.0,Unknown,Unknown,False
94.0,800774722,Amaury Abbas,FRA,2009.0,Unknown,Unknown,False
95.0,800705065,Nikolas Baker,AUS,2009.0,Unknown,Unknown,False
96.0,800716347,Livas Eduardo De Carvalho Damazio,BRA,2010.0,Unknown,Unknown,False
97.0,800583809,Damien Clerc,FRA,2008.0,Right Handed,Double Handed Backhand,False
98.0,800707189,Jeffrey Strydom,RSA,2009.0,Unknown,Unknown,False
99.0,800642706,Pedro Albuquerque Dietrich,BRA,2008.0,Unknown,Unknown,False
100.0,800638980,Marko Bekeni,SVK,2008.0,Unknown,Unknown,False
