Player_ID,Opponent_ID,Opponent_Name,Opponent_Nation,Tournament,Date,Surface,Round,Result,Score
800680259,800602969,Andres Santamarta Roig,ESP,J500 Blumenau,04 Mar to 10 Mar 2024,Clay,2nd Round,L,6-7 3-6
800680259,800535540,Timofei Derepasko,RUS,J500 Blumenau,04 Mar to 10 Mar 2024,Clay,1st Round,W,6-4 6-1
800680259,800546014,Hoyoung Roh,KOR,J300 Porto Alegre,26 Feb to 03 Mar 2024,Clay,2nd Round,L,6-7 2-6
800680259,800599182,Vito Antonio Darderi,ITA,J300 Porto Alegre,26 Feb to 03 Mar 2024,Clay,1st Round,W,7-6
800680259,800603434,Carles Cordoba,ESP,J300 Lima,12 Feb to 17 Feb 2024,Clay,1st Round,L,3-6 3-6
800680259,800555939,Jose David Segovia Perez,VEN,J300 Lima,12 Feb to 17 Feb 2024,Clay,Quarter-final,W,6-0 6-2
800680259,800655582,Ricardo sebastian ramos vargas,PER,J300 Lima,12 Feb to 17 Feb 2024,Clay,2nd Round,W,6-2 6-3
800680259,800555939,Jose David Segovia Perez,VEN,J300 Barranquilla,29 Jan to 03 Feb 2024,Hard,2nd Round,L,6-4 5-7 6-10
800680259,800601829,Santiago Ayala,COL,J300 Barranquilla,29 Jan to 03 Feb 2024,Hard,1st Round,W,6-1 6-2
800680259,800624016,Nathan Blokhin,USA,J300 Bradenton,27 Nov to 03 Dec 2023,Clay,1st Round,L,6-7 3-6
800680259,800581677,Stephan Noale,BRA,J100 Salvador,30 Oct to 04 Nov 2023,Hard,Final,L,4-6 0-6
800680259,800629753,Gustavo Albieri,BRA,J100 Salvador,30 Oct to 04 Nov 2023,Hard,Semi-final,W,7-6 6-2
800680259,800577986,Thiago Guglieri,BRA,J100 Salvador,30 Oct to 04 Nov 2023,Hard,Quarter-final,W,7-6 0-6 6-2
800680259,800656048,Caio Dourado,BRA,J100 Salvador,30 Oct to 04 Nov 2023,Hard,2nd Round,W,6-4 6-4
800680259,800567450,Nicolas Oliveira,BRA,J100 Salvador,30 Oct to 04 Nov 2023,Hard,1st Round,W,1-6 6-3 7-6
800680259,800579120,Miguel Tobon,COL,J200 Santa Cruz,23 Oct to 28 Oct 2023,Clay,3rd Round,L,6-2 1-6 0-3
800680259,800645762,Segundo Goity Zapico,ARG,J200 Santa Cruz,23 Oct to 28 Oct 2023,Clay,2nd Round,W,7-6 6-2
800680259,800688990,Santiago Lora,BOL,J200 Santa Cruz,23 Oct to 28 Oct 2023,Clay,1st Round,W,6-3 6-2
800680259,800585964,Jorge Andres Rodriguez,BOL,J200 Santa Cruz,23 Oct to 28 Oct 2023,Clay,Quarter-final,W,6-0 6-4
800680259,800597749,Diego Castellanos Donoso,BOL,J200 Santa Cruz,23 Oct to 28 Oct 2023,Clay,1st Round,W,6-0 6-1
800680259,800599048,Wonmin Kim,KOR,2023 ITF World Junior Tennis Finals (Boys),07 Aug to 12 Aug 2023,Clay,Round Robin Group 3,W,6-3 6-1
800680259,800597378,Tomas Krejci,CZE,2023 ITF World Junior Tennis Finals (Boys),07 Aug to 12 Aug 2023,Clay,Round Robin Group 3,W,6-4 6-4
800680259,800643283,Marco Ontiveros,GER,2023 ITF World Junior Tennis Finals (Boys),07 Aug to 12 Aug 2023,Clay,,W,4-6 6-2 6-4
800680259,800732018,Michael Antonius,USA,2023 ITF World Junior Tennis Finals (Boys),07 Aug to 12 Aug 2023,Clay,,L,1-6 0-6
