Player_ID,Opponent_ID,Opponent_Name,Opponent_Nation,Tournament,Year,Date,Surface,Round,Result,Score
800573038,800569599.0,Vineeth Mutyala,IND,JB1 Pune,2021,06 Dec to 11 Dec 2021,Hard,Quarter-final,L,2-6 3-6
800573038,800544103.0,Arjun Gohad,IND,JB1 Pune,2021,06 Dec to 11 Dec 2021,Hard,2nd Round,W,6-2 6-1
800573038,800542089.0,Anshul Satav,IND,JB1 Pune,2021,06 Dec to 11 Dec 2021,Hard,1st Round,W,6-2 6-0
800573038,800516438.0,Jaishnav Shinde,IND,J3 Pune,2021,29 Nov to 04 Dec 2021,Hard,2nd Round,L,2-6 3-6
800573038,800600078.0,Siddhanth Vinod,IND,J3 Pune,2021,29 Nov to 04 Dec 2021,Hard,1st Round,W,6-3 6-1
800573038,800543963.0,Shivam Sandeep Kadam,IND,J4 Hyderabad,2021,30 Aug to 04 Sep 2021,Hard,2nd Round,L,2-6 1-6
800573038,800553777.0,Harsh Fogaat,IND,J4 Hyderabad,2021,30 Aug to 04 Sep 2021,Hard,1st Round,W,6-4 6-1
800599182,800513529.0,Tobias Leitner,AUT,J5 San Marino,2021,27 Jul to 31 Jul 2021,Clay,1st Round,L,2-6 0-6
800690276,800677440.0,aoi oura,JPN,J5 Gifu,2021,08 Dec to 12 Dec 2021,Hard,Quarter-final,L,4-6 6-3 5-10
800690276,800688975.0,Sota Yasue,JPN,J5 Gifu,2021,08 Dec to 12 Dec 2021,Hard,2nd Round,W,6-3 3-6 11-9
800690276,800678588.0,KENTO NUKATA,JPN,J5 Gifu,2021,08 Dec to 12 Dec 2021,Hard,1st Round,W,7-5 6-0
800680775,800653706.0,Luca Benaibbouche,USA,J5 Managua,2021,20 Sep to 25 Sep 2021,Hard,1st Round,L,2-6 2-6
800661541,800655886.0,Riduan Aityn,KAZ,J3 Tashkent,2021,16 Aug to 21 Aug 2021,Hard,1st Round,L,4-6 4-6
800603811,800535533.0,Poonthong Komolpisut,THA,J4 Nonthaburi,2021,06 Dec to 11 Dec 2021,Hard,1st Round,L,2-6 0-6
800603811,800576728.0,Jeremy Zhang,AUS,J4 Nonthaburi,2021,29 Nov to 04 Dec 2021,Hard,1st Round,L,3-6 1-6
800603811,800535504.0,Rajata Thamcharoensatit,THA,J5 Nonthaburi,2021,22 Nov to 27 Nov 2021,Hard,1st Round,L,1-6 1-6
800603811,800564294.0,Takumi Watanabe,JPN,J5 Nonthaburi,2021,15 Nov to 20 Nov 2021,Hard,2nd Round,L,0-6 2-6
800603811,800552286.0,Zitawe Kulphisanrat,THA,J5 Nonthaburi,2021,15 Nov to 20 Nov 2021,Hard,1st Round,W,6-1 6-1
