Tourney_Date,Year,Surface,Round,p1_id,p2_id,elo_diff,surface_elo_diff,age_diff,target
2023-01-02,2023,Hard,R128,800562378.0,800689031.0,241.89458248251503,236.00296188896118,0.0,1
2023-01-02,2023,Hard,QF,800689840.0,800656679.0,50.434193328931315,29.596591357308398,0.0,1
2023-01-02,2023,Hard,R128,800597265.0,800653898.0,-24.862549485754016,-27.627937266567642,0.0,1
2023-01-02,2023,Hard,R128,800534733.0,800588557.0,-42.90397580697322,-152.82479606056586,0.0,1
2023-01-02,2023,Hard,R128,800581600.0,800689840.0,-156.17407178198346,-158.57546524293844,0.0,0
2023-01-02,2023,Hard,R128,800677980.0,800564769.0,-149.8256895202312,-44.82847801744197,0.0,0
2023-01-02,2023,Hard,R128,800689840.0,800572105.0,-87.53801173453553,-97.21488368905034,0.0,0
2023-01-03,2023,Hard,R128,800597995.0,800598657.0,34.435355571095215,71.77319234978972,0.0,0
2023-01-03,2023,Hard,R64,800534228.0,800576680.0,-123.43111730993905,-33.23875281466712,0.0,0
2023-01-03,2023,Hard,R128,800663732.0,800676806.0,72.79447302457629,60.43058670817754,-2.0,0
2023-01-03,2023,Hard,SF,800586899.0,800548995.0,201.40062408151243,143.06428912990327,0.0,1
2023-01-03,2023,Hard,R128,800537717.0,800586899.0,-93.49413078702514,-41.11192718893767,0.0,0
2023-01-03,2023,Carpet,R128,800567185.0,800672033.0,-31.597382692581277,-31.597382692581277,0.0,0
2023-01-03,2023,Hard,R128,800534228.0,800589201.0,76.69613243082154,27.082152521865737,0.0,1
2023-01-03,2023,Hard,R128,800591421.0,800621493.0,-15.11437092268875,-8.206510152181409,0.0,0
2023-01-03,2023,Hard,R128,800568357.0,800522491.0,71.4033420446624,74.80670269701318,-1.0,1
2023-01-03,2023,Hard,R64,800527599.0,800586899.0,-155.26264367628414,-104.30451983636885,0.0,0
2023-01-03,2023,Carpet,R128,800557776.0,800588222.0,206.71207465649354,181.04053822200626,0.0,1
2023-01-03,2023,Hard,R64,800659996.0,800576126.0,-136.76628128875723,-77.6861250018726,-2.0,1
2023-01-03,2023,Hard,R128,800572637.0,800659996.0,-145.91806967359867,-138.1620702838436,2.0,0
2023-01-03,2023,Hard,R128,800597379.0,800550801.0,18.74718533014493,11.328403374129493,-1.0,0
2023-01-03,2023,Carpet,R64,800575334.0,800564411.0,63.60535942537672,45.28010379732427,0.0,1
2023-01-03,2023,Carpet,R128,800564411.0,800709632.0,49.68580120727438,44.028737247945855,0.0,1
2023-01-03,2023,Carpet,R128,800555653.0,800542692.0,-317.31992756471186,-285.1674323681616,0.0,1
2023-01-03,2023,Carpet,R64,800685195.0,800563722.0,30.789373357614522,30.789373357614522,0.0,1
2023-01-03,2023,Hard,SF,800659996.0,800576680.0,-131.4408877443036,-20.35712621682046,-2.0,0
2023-01-03,2023,Hard,QF,800569897.0,800659996.0,-74.75476253383681,-32.476809616280434,2.0,0
2023-01-03,2023,Carpet,QF,800638973.0,800555653.0,197.47791985646154,174.14072744113628,0.0,0
2023-01-03,2023,Carpet,R128,800567648.0,800672857.0,224.06211649221632,211.2796950001773,1.0,1
2023-01-03,2023,Carpet,R128,800572217.0,800597526.0,-36.756288357302765,-58.96914527552667,0.0,1
2023-01-03,2023,Carpet,QF,800547390.0,800621382.0,-135.16109446454948,-135.99786305540306,0.0,0
2023-01-03,2023,Carpet,R128,800588426.0,800564679.0,130.81897408863665,108.86294292183334,0.0,0
2023-01-03,2023,Hard,R128,800585070.0,800673752.0,92.27294010222317,92.22028138753899,-1.0,0
2023-01-03,2023,Carpet,R64,800564679.0,800638973.0,-179.28379977475151,-152.74107237217822,0.0,0
